Address                                            ,latitude           ,longitude           ,fips_codes_30_mile                                                                                                               ,Tribe Name                                                                            ,TribeDividend,SeatsSlots ,Open_Date ,SquareFeetGaming ,RenovationDate ,Revenue_FY23   ,Cost,ID,State,Casino_Name
7932 ND-24 Fort Yates ND 58538                     ,46.0887664,-100.6702996,38059,Standing Rock Sioux Tribe of North and South Dakota                                   ,,700,     1993 ,           45000 ,          2024 ,56.3,          ,210,ND,Prairie Knights Casino and Resort
7932 ND-24 Fort Yates ND 58538                     ,46.0887664,-100.6702996,38029,Standing Rock Sioux Tribe of North and South Dakota                                   ,,700,     1993 ,           45000 ,          2024 ,56.3,          ,210,ND,Prairie Knights Casino and Resort
7932 ND-24 Fort Yates ND 58538                     ,46.0887664,-100.6702996,46031,Standing Rock Sioux Tribe of North and South Dakota                                   ,,700,     1993 ,           45000 ,          2024 ,56.3,          ,210,ND,Prairie Knights Casino and Resort
7932 ND-24 Fort Yates ND 58538                     ,46.0887664,-100.6702996,46021,Standing Rock Sioux Tribe of North and South Dakota                                   ,,700,     1993 ,           45000 ,          2024 ,56.3,          ,210,ND,Prairie Knights Casino and Resort
New Town North Dakota                              ,47.980848,-102.49018,38053,Three Affiliated Tribes of the Fort Berthold Reservation                              ,,700,     1993 ,          108000 ,          2025 ,41.0,  95000000,211,ND,4 Bears Casino and Lodge
New Town North Dakota                              ,47.980848,-102.49018,38055,Three Affiliated Tribes of the Fort Berthold Reservation                              ,,700,     1993 ,          108000 ,          2025 ,41.0,  95000000,211,ND,4 Bears Casino and Lodge
New Town North Dakota                              ,47.980848,-102.49018,38061,Three Affiliated Tribes of the Fort Berthold Reservation                              ,,700,     1993 ,          108000 ,          2025 ,41.0,  95000000,211,ND,4 Bears Casino and Lodge
New Town North Dakota                              ,47.980848,-102.49018,38105,Three Affiliated Tribes of the Fort Berthold Reservation                              ,,700,     1993 ,          108000 ,          2025 ,41.0,  95000000,211,ND,4 Bears Casino and Lodge
New Town North Dakota                              ,47.980848,-102.49018,38025,Three Affiliated Tribes of the Fort Berthold Reservation                              ,,700,     1993 ,          108000 ,          2025 ,41.0,  95000000,211,ND,4 Bears Casino and Lodge
352 Main Street New Town North Dakota 58763        ,47.97963971717172,-102.48781315151516,38053,Three Affiliated Tribes of the Fort Berthold Reservation                              ,,3,     2017 ,                 ,               ,0.2,          ,212,ND,American Legion Post 290
352 Main Street New Town North Dakota 58763        ,47.97963971717172,-102.48781315151516,38055,Three Affiliated Tribes of the Fort Berthold Reservation                              ,,3,     2017 ,                 ,               ,0.2,          ,212,ND,American Legion Post 290
352 Main Street New Town North Dakota 58763        ,47.97963971717172,-102.48781315151516,38061,Three Affiliated Tribes of the Fort Berthold Reservation                              ,,3,     2017 ,                 ,               ,0.2,          ,212,ND,American Legion Post 290
352 Main Street New Town North Dakota 58763        ,47.97963971717172,-102.48781315151516,38105,Three Affiliated Tribes of the Fort Berthold Reservation                              ,,3,     2017 ,                 ,               ,0.2,          ,212,ND,American Legion Post 290
352 Main Street New Town North Dakota 58763        ,47.97963971717172,-102.48781315151516,38025,Three Affiliated Tribes of the Fort Berthold Reservation                              ,,3,     2017 ,                 ,               ,0.2,          ,212,ND,American Legion Post 290
200 33rd St SE Spiritwood ND 58481                 ,46.93592,-98.485139,38003,Three Affiliated Tribes of the Fort Berthold Reservation                              ,,3,     1998 ,                 ,               ,0.3,          ,213,ND,Sportman's Bar
200 33rd St SE Spiritwood ND 58481                 ,46.93592,-98.485139,38045,Three Affiliated Tribes of the Fort Berthold Reservation                              ,,3,     1998 ,                 ,               ,0.3,          ,213,ND,Sportman's Bar
200 33rd St SE Spiritwood ND 58481                 ,46.93592,-98.485139,38039,Three Affiliated Tribes of the Fort Berthold Reservation                              ,,3,     1998 ,                 ,               ,0.3,          ,213,ND,Sportman's Bar
200 33rd St SE Spiritwood ND 58481                 ,46.93592,-98.485139,38031,Three Affiliated Tribes of the Fort Berthold Reservation                              ,,3,     1998 ,                 ,               ,0.3,          ,213,ND,Sportman's Bar
200 33rd St SE Spiritwood ND 58481                 ,46.93592,-98.485139,38093,Three Affiliated Tribes of the Fort Berthold Reservation                              ,,3,     1998 ,                 ,               ,0.3,          ,213,ND,Sportman's Bar
New Town North Dakota                              ,47.980848,-102.49018,38053,Three Affiliated Tribes of the Fort Berthold Reservation                              ,,5,          ,                 ,               ,0.5,          ,214,ND,Scenic 23 Club
New Town North Dakota                              ,47.980848,-102.49018,38055,Three Affiliated Tribes of the Fort Berthold Reservation                              ,,5,          ,                 ,               ,0.5,          ,214,ND,Scenic 23 Club
New Town North Dakota                              ,47.980848,-102.49018,38061,Three Affiliated Tribes of the Fort Berthold Reservation                              ,,5,          ,                 ,               ,0.5,          ,214,ND,Scenic 23 Club
New Town North Dakota                              ,47.980848,-102.49018,38105,Three Affiliated Tribes of the Fort Berthold Reservation                              ,,5,          ,                 ,               ,0.5,          ,214,ND,Scenic 23 Club
New Town North Dakota                              ,47.980848,-102.49018,38025,Three Affiliated Tribes of the Fort Berthold Reservation                              ,,5,          ,                 ,               ,0.5,          ,214,ND,Scenic 23 Club
trenton North Dakota                               ,48.070578,-103.836871,30085,Turtle Mountain Band of Chippewa Indians                                              ,,400,     2016 ,            5000 ,               ,11.0,          ,215,ND,Grand Treasures Casino
trenton North Dakota                               ,48.070578,-103.836871,30083,Turtle Mountain Band of Chippewa Indians                                              ,,400,     2016 ,            5000 ,               ,11.0,          ,215,ND,Grand Treasures Casino
trenton North Dakota                               ,48.070578,-103.836871,38053,Turtle Mountain Band of Chippewa Indians                                              ,,400,     2016 ,            5000 ,               ,11.0,          ,215,ND,Grand Treasures Casino
trenton North Dakota                               ,48.070578,-103.836871,38105,Turtle Mountain Band of Chippewa Indians                                              ,,400,     2016 ,            5000 ,               ,11.0,          ,215,ND,Grand Treasures Casino
