Address                                            ,latitude           ,longitude           ,casino_control_counties,Tribe Name                                                                            ,TribeDividend,SeatsSlots ,Open_Date ,SquareFeetGaming ,RenovationDate ,Revenue_FY23   ,Cost,ID,State,Casino_Name
14455 CA-16 Brooks CA 95606                        ,38.7365093,-122.1430966,6063,Yocha DeHe Wintun Nation                                                              ,,2300,1993,74270,          2002 ,220.0,          ,102,CA,Cache Creek Casino Resort
14455 CA-16 Brooks CA 95606                        ,38.7365093,-122.1430966,6021,Yocha DeHe Wintun Nation                                                              ,,2300,1993,74270,          2002 ,220.0,          ,102,CA,Cache Creek Casino Resort
14455 CA-16 Brooks CA 95606                        ,38.7365093,-122.1430966,6061,Yocha DeHe Wintun Nation                                                              ,,2300,1993,74270,          2002 ,220.0,          ,102,CA,Cache Creek Casino Resort
14455 CA-16 Brooks CA 95606                        ,38.7365093,-122.1430966,6057,Yocha DeHe Wintun Nation                                                              ,,2300,1993,74270,          2002 ,220.0,          ,102,CA,Cache Creek Casino Resort
14455 CA-16 Brooks CA 95606                        ,38.7365093,-122.1430966,6077,Yocha DeHe Wintun Nation                                                              ,,2300,1993,74270,          2002 ,220.0,          ,102,CA,Cache Creek Casino Resort
14455 CA-16 Brooks CA 95606                        ,38.7365093,-122.1430966,6067,Yocha DeHe Wintun Nation                                                              ,,2300,1993,74270,          2002 ,220.0,          ,102,CA,Cache Creek Casino Resort
14455 CA-16 Brooks CA 95606                        ,38.7365093,-122.1430966,6045,Yocha DeHe Wintun Nation                                                              ,,2300,1993,74270,          2002 ,220.0,          ,102,CA,Cache Creek Casino Resort
14455 CA-16 Brooks CA 95606                        ,38.7365093,-122.1430966,6115,Yocha DeHe Wintun Nation                                                              ,,2300,1993,74270,          2002 ,220.0,          ,102,CA,Cache Creek Casino Resort
14455 CA-16 Brooks CA 95606                        ,38.7365093,-122.1430966,6009,Yocha DeHe Wintun Nation                                                              ,,2300,1993,74270,          2002 ,220.0,          ,102,CA,Cache Creek Casino Resort
14455 CA-16 Brooks CA 95606                        ,38.7365093,-122.1430966,6099,Yocha DeHe Wintun Nation                                                              ,,2300,1993,74270,          2002 ,220.0,          ,102,CA,Cache Creek Casino Resort
14455 CA-16 Brooks CA 95606                        ,38.7365093,-122.1430966,6103,Yocha DeHe Wintun Nation                                                              ,,2300,1993,74270,          2002 ,220.0,          ,102,CA,Cache Creek Casino Resort
14455 CA-16 Brooks CA 95606                        ,38.7365093,-122.1430966,6017,Yocha DeHe Wintun Nation                                                              ,,2300,1993,74270,          2002 ,220.0,          ,102,CA,Cache Creek Casino Resort
14455 CA-16 Brooks CA 95606                        ,38.7365093,-122.1430966,6005,Yocha DeHe Wintun Nation                                                              ,,2300,1993,74270,          2002 ,220.0,          ,102,CA,Cache Creek Casino Resort
14455 CA-16 Brooks CA 95606                        ,38.7365093,-122.1430966,6081,Yocha DeHe Wintun Nation                                                              ,,2300,1993,74270,          2002 ,220.0,          ,102,CA,Cache Creek Casino Resort
14455 CA-16 Brooks CA 95606                        ,38.7365093,-122.1430966,6013,Yocha DeHe Wintun Nation                                                              ,,2300,1993,74270,          2002 ,220.0,          ,102,CA,Cache Creek Casino Resort
14455 CA-16 Brooks CA 95606                        ,38.7365093,-122.1430966,6007,Yocha DeHe Wintun Nation                                                              ,,2300,1993,74270,          2002 ,220.0,          ,102,CA,Cache Creek Casino Resort
14455 CA-16 Brooks CA 95606                        ,38.7365093,-122.1430966,6085,Yocha DeHe Wintun Nation                                                              ,,2300,1993,74270,          2002 ,220.0,          ,102,CA,Cache Creek Casino Resort
14455 CA-16 Brooks CA 95606                        ,38.7365093,-122.1430966,6041,Yocha DeHe Wintun Nation                                                              ,,2300,1993,74270,          2002 ,220.0,          ,102,CA,Cache Creek Casino Resort
777 San Manuel Blvd S Highland CA 92346            ,34.15068035,-117.22940545314115,6111,Yuhaaviatam of San Manuel Nation                                                      ,,7200,1994,290000,          2021 ,89.5, 720000000,103,CA,Yaamava' Resort & Casino at San Manuel
777 San Manuel Blvd S Highland CA 92346            ,34.15068035,-117.22940545314115,6025,Yuhaaviatam of San Manuel Nation                                                      ,,7200,1994,290000,          2021 ,89.5, 720000000,103,CA,Yaamava' Resort & Casino at San Manuel
777 San Manuel Blvd S Highland CA 92346            ,34.15068035,-117.22940545314115,6037,Yuhaaviatam of San Manuel Nation                                                      ,,7200,1994,290000,          2021 ,89.5, 720000000,103,CA,Yaamava' Resort & Casino at San Manuel
777 San Manuel Blvd S Highland CA 92346            ,34.15068035,-117.22940545314115,6059,Yuhaaviatam of San Manuel Nation                                                      ,,7200,1994,290000,          2021 ,89.5, 720000000,103,CA,Yaamava' Resort & Casino at San Manuel
777 San Manuel Blvd S Highland CA 92346            ,34.15068035,-117.22940545314115,6029,Yuhaaviatam of San Manuel Nation                                                      ,,7200,1994,290000,          2021 ,89.5, 720000000,103,CA,Yaamava' Resort & Casino at San Manuel
777 San Manuel Blvd S Highland CA 92346            ,34.15068035,-117.22940545314115,6073,Yuhaaviatam of San Manuel Nation                                                      ,,7200,1994,290000,          2021 ,89.5, 720000000,103,CA,Yaamava' Resort & Casino at San Manuel
171 Klamath Blvd Klamath CA 95548                  ,41.5294502,-124.03931219250586,41011,Yurok Tribe of the Yurok Reservation                                                  ,,125,2014,3700,          2024 ,8.6,  15000000,104,CA,Redwood Hotel Casino
171 Klamath Blvd Klamath CA 95548                  ,41.5294502,-124.03931219250586,41029,Yurok Tribe of the Yurok Reservation                                                  ,,125,2014,3700,          2024 ,8.6,  15000000,104,CA,Redwood Hotel Casino
171 Klamath Blvd Klamath CA 95548                  ,41.5294502,-124.03931219250586,41019,Yurok Tribe of the Yurok Reservation                                                  ,,125,2014,3700,          2024 ,8.6,  15000000,104,CA,Redwood Hotel Casino
171 Klamath Blvd Klamath CA 95548                  ,41.5294502,-124.03931219250586,41033,Yurok Tribe of the Yurok Reservation                                                  ,,125,2014,3700,          2024 ,8.6,  15000000,104,CA,Redwood Hotel Casino
171 Klamath Blvd Klamath CA 95548                  ,41.5294502,-124.03931219250586,41015,Yurok Tribe of the Yurok Reservation                                                  ,,125,2014,3700,          2024 ,8.6,  15000000,104,CA,Redwood Hotel Casino
171 Klamath Blvd Klamath CA 95548                  ,41.5294502,-124.03931219250586,6105,Yurok Tribe of the Yurok Reservation                                                  ,,125,2014,3700,          2024 ,8.6,  15000000,104,CA,Redwood Hotel Casino
14324 CO-172 Ignacio CO 81137                      ,37.1216081,-107.6341667,8111,Southern Ute Indian Tribe                                                             ,,500,2008,45000,               ,1.9,  17500000,105,CO,Sky Ute Casino Resort
14324 CO-172 Ignacio CO 81137                      ,37.1216081,-107.6341667,8079,Southern Ute Indian Tribe                                                             ,,500,2008,45000,               ,1.9,  17500000,105,CO,Sky Ute Casino Resort
14324 CO-172 Ignacio CO 81137                      ,37.1216081,-107.6341667,8021,Southern Ute Indian Tribe                                                             ,,500,2008,45000,               ,1.9,  17500000,105,CO,Sky Ute Casino Resort
14324 CO-172 Ignacio CO 81137                      ,37.1216081,-107.6341667,8033,Southern Ute Indian Tribe                                                             ,,500,2008,45000,               ,1.9,  17500000,105,CO,Sky Ute Casino Resort
14324 CO-172 Ignacio CO 81137                      ,37.1216081,-107.6341667,8109,Southern Ute Indian Tribe                                                             ,,500,2008,45000,               ,1.9,  17500000,105,CO,Sky Ute Casino Resort
14324 CO-172 Ignacio CO 81137                      ,37.1216081,-107.6341667,8085,Southern Ute Indian Tribe                                                             ,,500,2008,45000,               ,1.9,  17500000,105,CO,Sky Ute Casino Resort
14324 CO-172 Ignacio CO 81137                      ,37.1216081,-107.6341667,49037,Southern Ute Indian Tribe                                                             ,,500,2008,45000,               ,1.9,  17500000,105,CO,Sky Ute Casino Resort
14324 CO-172 Ignacio CO 81137                      ,37.1216081,-107.6341667,35031,Southern Ute Indian Tribe                                                             ,,500,2008,45000,               ,1.9,  17500000,105,CO,Sky Ute Casino Resort
14324 CO-172 Ignacio CO 81137                      ,37.1216081,-107.6341667,4001,Southern Ute Indian Tribe                                                             ,,500,2008,45000,               ,1.9,  17500000,105,CO,Sky Ute Casino Resort
14324 CO-172 Ignacio CO 81137                      ,37.1216081,-107.6341667,35043,Southern Ute Indian Tribe                                                             ,,500,2008,45000,               ,1.9,  17500000,105,CO,Sky Ute Casino Resort
14324 CO-172 Ignacio CO 81137                      ,37.1216081,-107.6341667,8091,Southern Ute Indian Tribe                                                             ,,500,2008,45000,               ,1.9,  17500000,105,CO,Sky Ute Casino Resort
14324 CO-172 Ignacio CO 81137                      ,37.1216081,-107.6341667,8051,Southern Ute Indian Tribe                                                             ,,500,2008,45000,               ,1.9,  17500000,105,CO,Sky Ute Casino Resort
14324 CO-172 Ignacio CO 81137                      ,37.1216081,-107.6341667,8083,Southern Ute Indian Tribe                                                             ,,500,2008,45000,               ,1.9,  17500000,105,CO,Sky Ute Casino Resort
14324 CO-172 Ignacio CO 81137                      ,37.1216081,-107.6341667,8113,Southern Ute Indian Tribe                                                             ,,500,2008,45000,               ,1.9,  17500000,105,CO,Sky Ute Casino Resort
14324 CO-172 Ignacio CO 81137                      ,37.1216081,-107.6341667,8105,Southern Ute Indian Tribe                                                             ,,500,2008,45000,               ,1.9,  17500000,105,CO,Sky Ute Casino Resort
3 Weeminuche Dr Towaoc CO 81334                    ,37.2046236,-108.6853093,49019,Ute Mountain Ute Tribe                                                                ,,700,1992,60000,          2004 ,8.5,   5500000,106,CO,Ute Mountain Casino
3 Weeminuche Dr Towaoc CO 81334                    ,37.2046236,-108.6853093,8111,Ute Mountain Ute Tribe                                                                ,,700,1992,60000,          2004 ,8.5,   5500000,106,CO,Ute Mountain Casino
3 Weeminuche Dr Towaoc CO 81334                    ,37.2046236,-108.6853093,8091,Ute Mountain Ute Tribe                                                                ,,700,1992,60000,          2004 ,8.5,   5500000,106,CO,Ute Mountain Casino
3 Weeminuche Dr Towaoc CO 81334                    ,37.2046236,-108.6853093,8085,Ute Mountain Ute Tribe                                                                ,,700,1992,60000,          2004 ,8.5,   5500000,106,CO,Ute Mountain Casino
3 Weeminuche Dr Towaoc CO 81334                    ,37.2046236,-108.6853093,8007,Ute Mountain Ute Tribe                                                                ,,700,1992,60000,          2004 ,8.5,   5500000,106,CO,Ute Mountain Casino
3 Weeminuche Dr Towaoc CO 81334                    ,37.2046236,-108.6853093,35031,Ute Mountain Ute Tribe                                                                ,,700,1992,60000,          2004 ,8.5,   5500000,106,CO,Ute Mountain Casino
3 Weeminuche Dr Towaoc CO 81334                    ,37.2046236,-108.6853093,8077,Ute Mountain Ute Tribe                                                                ,,700,1992,60000,          2004 ,8.5,   5500000,106,CO,Ute Mountain Casino
3 Weeminuche Dr Towaoc CO 81334                    ,37.2046236,-108.6853093,4017,Ute Mountain Ute Tribe                                                                ,,700,1992,60000,          2004 ,8.5,   5500000,106,CO,Ute Mountain Casino
3 Weeminuche Dr Towaoc CO 81334                    ,37.2046236,-108.6853093,35039,Ute Mountain Ute Tribe                                                                ,,700,1992,60000,          2004 ,8.5,   5500000,106,CO,Ute Mountain Casino
3 Weeminuche Dr Towaoc CO 81334                    ,37.2046236,-108.6853093,8053,Ute Mountain Ute Tribe                                                                ,,700,1992,60000,          2004 ,8.5,   5500000,106,CO,Ute Mountain Casino
3 Weeminuche Dr Towaoc CO 81334                    ,37.2046236,-108.6853093,8113,Ute Mountain Ute Tribe                                                                ,,700,1992,60000,          2004 ,8.5,   5500000,106,CO,Ute Mountain Casino
350 Trolley Line Blvd Mashantucket CT 06338        ,41.4717228,-71.9576205,33011,Mashantucket Pequot Indian Tribe                                                      ,,5500,1992,344000,          2005 ,91.0, 700000000,107,CT,Foxwoods Resort & Casino
350 Trolley Line Blvd Mashantucket CT 06338        ,41.4717228,-71.9576205,25011,Mashantucket Pequot Indian Tribe                                                      ,,5500,1992,344000,          2005 ,91.0, 700000000,107,CT,Foxwoods Resort & Casino
350 Trolley Line Blvd Mashantucket CT 06338        ,41.4717228,-71.9576205,25007,Mashantucket Pequot Indian Tribe                                                      ,,5500,1992,344000,          2005 ,91.0, 700000000,107,CT,Foxwoods Resort & Casino
350 Trolley Line Blvd Mashantucket CT 06338        ,41.4717228,-71.9576205,25017,Mashantucket Pequot Indian Tribe                                                      ,,5500,1992,344000,          2005 ,91.0, 700000000,107,CT,Foxwoods Resort & Casino
