Address                                            ,latitude           ,longitude           ,casino_control_counties,Tribe Name                                                                            ,TribeDividend,SeatsSlots ,Open_Date ,SquareFeetGaming ,RenovationDate ,Revenue_FY23   ,Cost,ID,State,Casino_Name
2457 Highway 62 N Service Rd Newcastle OK 73065    ,35.277318550000004,-97.59871019738344,48077,Chickasaw Nation                                                                      ,1000.0,3000,1998,          112000 ,               ,154.1375051,          ,300,OK,Newcastle Gaming Center
2457 Highway 62 N Service Rd Newcastle OK 73065    ,35.277318550000004,-97.59871019738344,40119,Chickasaw Nation                                                                      ,1000.0,3000,1998,          112000 ,               ,154.1375051,          ,300,OK,Newcastle Gaming Center
2457 Highway 62 N Service Rd Newcastle OK 73065    ,35.277318550000004,-97.59871019738344,40141,Chickasaw Nation                                                                      ,1000.0,3000,1998,          112000 ,               ,154.1375051,          ,300,OK,Newcastle Gaming Center
2457 Highway 62 N Service Rd Newcastle OK 73065    ,35.277318550000004,-97.59871019738344,40003,Chickasaw Nation                                                                      ,1000.0,3000,1998,          112000 ,               ,154.1375051,          ,300,OK,Newcastle Gaming Center
2457 Highway 62 N Service Rd Newcastle OK 73065    ,35.277318550000004,-97.59871019738344,40067,Chickasaw Nation                                                                      ,1000.0,3000,1998,          112000 ,               ,154.1375051,          ,300,OK,Newcastle Gaming Center
2457 Highway 62 N Service Rd Newcastle OK 73065    ,35.277318550000004,-97.59871019738344,40075,Chickasaw Nation                                                                      ,1000.0,3000,1998,          112000 ,               ,154.1375051,          ,300,OK,Newcastle Gaming Center
2457 Highway 62 N Service Rd Newcastle OK 73065    ,35.277318550000004,-97.59871019738344,40103,Chickasaw Nation                                                                      ,1000.0,3000,1998,          112000 ,               ,154.1375051,          ,300,OK,Newcastle Gaming Center
2457 Highway 62 N Service Rd Newcastle OK 73065    ,35.277318550000004,-97.59871019738344,40071,Chickasaw Nation                                                                      ,1000.0,3000,1998,          112000 ,               ,154.1375051,          ,300,OK,Newcastle Gaming Center
2457 Highway 62 N Service Rd Newcastle OK 73065    ,35.277318550000004,-97.59871019738344,40011,Chickasaw Nation                                                                      ,1000.0,3000,1998,          112000 ,               ,154.1375051,          ,300,OK,Newcastle Gaming Center
2457 Highway 62 N Service Rd Newcastle OK 73065    ,35.277318550000004,-97.59871019738344,40033,Chickasaw Nation                                                                      ,1000.0,3000,1998,          112000 ,               ,154.1375051,          ,300,OK,Newcastle Gaming Center
2457 Highway 62 N Service Rd Newcastle OK 73065    ,35.277318550000004,-97.59871019738344,40047,Chickasaw Nation                                                                      ,1000.0,3000,1998,          112000 ,               ,154.1375051,          ,300,OK,Newcastle Gaming Center
2457 Highway 62 N Service Rd Newcastle OK 73065    ,35.277318550000004,-97.59871019738344,40073,Chickasaw Nation                                                                      ,1000.0,3000,1998,          112000 ,               ,154.1375051,          ,300,OK,Newcastle Gaming Center
1544 OK-9 Norman OK 73072                          ,35.235359035522094,-97.16394165247496,40015,Chickasaw Nation                                                                      ,1000.0,2700,2006,          219000 ,          2009 ,138.7237546,          ,301,OK,Riverwind Casino
1544 OK-9 Norman OK 73072                          ,35.235359035522094,-97.16394165247496,48337,Chickasaw Nation                                                                      ,1000.0,2700,2006,          219000 ,          2009 ,138.7237546,          ,301,OK,Riverwind Casino
1544 OK-9 Norman OK 73072                          ,35.235359035522094,-97.16394165247496,40113,Chickasaw Nation                                                                      ,1000.0,2700,2006,          219000 ,          2009 ,138.7237546,          ,301,OK,Riverwind Casino
1544 OK-9 Norman OK 73072                          ,35.235359035522094,-97.16394165247496,40037,Chickasaw Nation                                                                      ,1000.0,2700,2006,          219000 ,          2009 ,138.7237546,          ,301,OK,Riverwind Casino
1544 OK-9 Norman OK 73072                          ,35.235359035522094,-97.16394165247496,40063,Chickasaw Nation                                                                      ,1000.0,2700,2006,          219000 ,          2009 ,138.7237546,          ,301,OK,Riverwind Casino
1544 OK-9 Norman OK 73072                          ,35.235359035522094,-97.16394165247496,40005,Chickasaw Nation                                                                      ,1000.0,2700,2006,          219000 ,          2009 ,138.7237546,          ,301,OK,Riverwind Casino
1544 OK-9 Norman OK 73072                          ,35.235359035522094,-97.16394165247496,40069,Chickasaw Nation                                                                      ,1000.0,2700,2006,          219000 ,          2009 ,138.7237546,          ,301,OK,Riverwind Casino
1544 OK-9 Norman OK 73072                          ,35.235359035522094,-97.16394165247496,40093,Chickasaw Nation                                                                      ,1000.0,2700,2006,          219000 ,          2009 ,138.7237546,          ,301,OK,Riverwind Casino
1544 OK-9 Norman OK 73072                          ,35.235359035522094,-97.16394165247496,48097,Chickasaw Nation                                                                      ,1000.0,2700,2006,          219000 ,          2009 ,138.7237546,          ,301,OK,Riverwind Casino
