Address                                            ,latitude           ,longitude           ,casino_control_counties,Tribe Name                                                                            ,TribeDividend,SeatsSlots ,Open_Date ,SquareFeetGaming ,RenovationDate ,Revenue_FY23   ,Cost,ID,State,Casino_Name
2710 US-64 Shiprock NM 87420                       ,36.7842991,-108.6692588,8085,Navajo Nation                                                                         ,0.0,120,2010,           11000 ,               ,15.0,   3100000,226,NM,Flowing Waters Navajo Casino
2710 US-64 Shiprock NM 87420                       ,36.7842991,-108.6692588,8053,Navajo Nation                                                                         ,0.0,120,2010,           11000 ,               ,15.0,   3100000,226,NM,Flowing Waters Navajo Casino
2710 US-64 Shiprock NM 87420                       ,36.7842991,-108.6692588,8007,Navajo Nation                                                                         ,0.0,120,2010,           11000 ,               ,15.0,   3100000,226,NM,Flowing Waters Navajo Casino
2710 US-64 Shiprock NM 87420                       ,36.7842991,-108.6692588,35031,Navajo Nation                                                                         ,0.0,120,2010,           11000 ,               ,15.0,   3100000,226,NM,Flowing Waters Navajo Casino
2710 US-64 Shiprock NM 87420                       ,36.7842991,-108.6692588,4017,Navajo Nation                                                                         ,0.0,120,2010,           11000 ,               ,15.0,   3100000,226,NM,Flowing Waters Navajo Casino
2710 US-64 Shiprock NM 87420                       ,36.7842991,-108.6692588,35039,Navajo Nation                                                                         ,0.0,120,2010,           11000 ,               ,15.0,   3100000,226,NM,Flowing Waters Navajo Casino
2710 US-64 Shiprock NM 87420                       ,36.7842991,-108.6692588,35043,Navajo Nation                                                                         ,0.0,120,2010,           11000 ,               ,15.0,   3100000,226,NM,Flowing Waters Navajo Casino
2710 US-64 Shiprock NM 87420                       ,36.7842991,-108.6692588,8113,Navajo Nation                                                                         ,0.0,120,2010,           11000 ,               ,15.0,   3100000,226,NM,Flowing Waters Navajo Casino
414 North Allen Avenue Farmington NM 87401         ,36.733281950000006,-108.20583238011795,8111,Navajo Nation                                                                         ,0.0,750,2012,           85000 ,               ,5.0, 175000000,227,NM,Northern Edge Navajo Casino
414 North Allen Avenue Farmington NM 87401         ,36.733281950000006,-108.20583238011795,8079,Navajo Nation                                                                         ,0.0,750,2012,           85000 ,               ,5.0, 175000000,227,NM,Northern Edge Navajo Casino
414 North Allen Avenue Farmington NM 87401         ,36.733281950000006,-108.20583238011795,8085,Navajo Nation                                                                         ,0.0,750,2012,           85000 ,               ,5.0, 175000000,227,NM,Northern Edge Navajo Casino
414 North Allen Avenue Farmington NM 87401         ,36.733281950000006,-108.20583238011795,35031,Navajo Nation                                                                         ,0.0,750,2012,           85000 ,               ,5.0, 175000000,227,NM,Northern Edge Navajo Casino
414 North Allen Avenue Farmington NM 87401         ,36.733281950000006,-108.20583238011795,8053,Navajo Nation                                                                         ,0.0,750,2012,           85000 ,               ,5.0, 175000000,227,NM,Northern Edge Navajo Casino
414 North Allen Avenue Farmington NM 87401         ,36.733281950000006,-108.20583238011795,35043,Navajo Nation                                                                         ,0.0,750,2012,           85000 ,               ,5.0, 175000000,227,NM,Northern Edge Navajo Casino
414 North Allen Avenue Farmington NM 87401         ,36.733281950000006,-108.20583238011795,8091,Navajo Nation                                                                         ,0.0,750,2012,           85000 ,               ,5.0, 175000000,227,NM,Northern Edge Navajo Casino
414 North Allen Avenue Farmington NM 87401         ,36.733281950000006,-108.20583238011795,49037,Navajo Nation                                                                         ,0.0,750,2012,           85000 ,               ,5.0, 175000000,227,NM,Northern Edge Navajo Casino
414 North Allen Avenue Farmington NM 87401         ,36.733281950000006,-108.20583238011795,8033,Navajo Nation                                                                         ,0.0,750,2012,           85000 ,               ,5.0, 175000000,227,NM,Northern Edge Navajo Casino
414 North Allen Avenue Farmington NM 87401         ,36.733281950000006,-108.20583238011795,35006,Navajo Nation                                                                         ,0.0,750,2012,           85000 ,               ,5.0, 175000000,227,NM,Northern Edge Navajo Casino
414 North Allen Avenue Farmington NM 87401         ,36.733281950000006,-108.20583238011795,8007,Navajo Nation                                                                         ,0.0,750,2012,           85000 ,               ,5.0, 175000000,227,NM,Northern Edge Navajo Casino
414 North Allen Avenue Farmington NM 87401         ,36.733281950000006,-108.20583238011795,35039,Navajo Nation                                                                         ,0.0,750,2012,           85000 ,               ,5.0, 175000000,227,NM,Northern Edge Navajo Casino
414 North Allen Avenue Farmington NM 87401         ,36.733281950000006,-108.20583238011795,4001,Navajo Nation                                                                         ,0.0,750,2012,           85000 ,               ,5.0, 175000000,227,NM,Northern Edge Navajo Casino
414 North Allen Avenue Farmington NM 87401         ,36.733281950000006,-108.20583238011795,8113,Navajo Nation                                                                         ,0.0,750,2012,           85000 ,               ,5.0, 175000000,227,NM,Northern Edge Navajo Casino
Church Rock NM 87311                               ,35.5354476,-108.600894,35045,Navajo Nation                                                                         ,0.0,1100,2008,           64000 ,               ,7.0,  20000000,228,NM,Fire Rock Navajo Casino
Church Rock NM 87311                               ,35.5354476,-108.600894,35053,Navajo Nation                                                                         ,0.0,1100,2008,           64000 ,               ,7.0,  20000000,228,NM,Fire Rock Navajo Casino
Church Rock NM 87311                               ,35.5354476,-108.600894,4017,Navajo Nation                                                                         ,0.0,1100,2008,           64000 ,               ,7.0,  20000000,228,NM,Fire Rock Navajo Casino
