Address                                            ,latitude           ,longitude           ,casino_control_counties,Tribe Name                                                                            ,TribeDividend,SeatsSlots ,Open_Date ,SquareFeetGaming ,RenovationDate ,Revenue_FY23   ,Cost,ID,State,Casino_Name
41207 Hardesty Rd Shawnee OK 74801                 ,35.3042494,-96.8952825,40119,Citizen Potawatomi Nation                                                             ,1400.0,16,1989,                 ,          2015 ,0.474696916,          ,325,OK,Golf Clubhouse
41207 Hardesty Rd Shawnee OK 74801                 ,35.3042494,-96.8952825,40147,Citizen Potawatomi Nation                                                             ,1400.0,16,1989,                 ,          2015 ,0.474696916,          ,325,OK,Golf Clubhouse
41207 Hardesty Rd Shawnee OK 74801                 ,35.3042494,-96.8952825,40067,Citizen Potawatomi Nation                                                             ,1400.0,16,1989,                 ,          2015 ,0.474696916,          ,325,OK,Golf Clubhouse
41207 Hardesty Rd Shawnee OK 74801                 ,35.3042494,-96.8952825,40121,Citizen Potawatomi Nation                                                             ,1400.0,16,1989,                 ,          2015 ,0.474696916,          ,325,OK,Golf Clubhouse
41207 Hardesty Rd Shawnee OK 74801                 ,35.3042494,-96.8952825,40051,Citizen Potawatomi Nation                                                             ,1400.0,16,1989,                 ,          2015 ,0.474696916,          ,325,OK,Golf Clubhouse
41207 Hardesty Rd Shawnee OK 74801                 ,35.3042494,-96.8952825,40061,Citizen Potawatomi Nation                                                             ,1400.0,16,1989,                 ,          2015 ,0.474696916,          ,325,OK,Golf Clubhouse
41207 Hardesty Rd Shawnee OK 74801                 ,35.3042494,-96.8952825,40013,Citizen Potawatomi Nation                                                             ,1400.0,16,1989,                 ,          2015 ,0.474696916,          ,325,OK,Golf Clubhouse
41207 Hardesty Rd Shawnee OK 74801                 ,35.3042494,-96.8952825,40103,Citizen Potawatomi Nation                                                             ,1400.0,16,1989,                 ,          2015 ,0.474696916,          ,325,OK,Golf Clubhouse
41207 Hardesty Rd Shawnee OK 74801                 ,35.3042494,-96.8952825,40071,Citizen Potawatomi Nation                                                             ,1400.0,16,1989,                 ,          2015 ,0.474696916,          ,325,OK,Golf Clubhouse
41207 Hardesty Rd Shawnee OK 74801                 ,35.3042494,-96.8952825,40011,Citizen Potawatomi Nation                                                             ,1400.0,16,1989,                 ,          2015 ,0.474696916,          ,325,OK,Golf Clubhouse
41207 Hardesty Rd Shawnee OK 74801                 ,35.3042494,-96.8952825,40047,Citizen Potawatomi Nation                                                             ,1400.0,16,1989,                 ,          2015 ,0.474696916,          ,325,OK,Golf Clubhouse
41207 Hardesty Rd Shawnee OK 74801                 ,35.3042494,-96.8952825,40073,Citizen Potawatomi Nation                                                             ,1400.0,16,1989,                 ,          2015 ,0.474696916,          ,325,OK,Golf Clubhouse
41207 Hardesty Rd Shawnee OK 74801                 ,35.3042494,-96.8952825,40015,Citizen Potawatomi Nation                                                             ,1400.0,800,1982,           49500 ,          1995 ,23.7348458,          ,326,OK,Firelake Entertainment Center
41207 Hardesty Rd Shawnee OK 74801                 ,35.3042494,-96.8952825,40113,Citizen Potawatomi Nation                                                             ,1400.0,800,1982,           49500 ,          1995 ,23.7348458,          ,326,OK,Firelake Entertainment Center
41207 Hardesty Rd Shawnee OK 74801                 ,35.3042494,-96.8952825,40063,Citizen Potawatomi Nation                                                             ,1400.0,800,1982,           49500 ,          1995 ,23.7348458,          ,326,OK,Firelake Entertainment Center
41207 Hardesty Rd Shawnee OK 74801                 ,35.3042494,-96.8952825,40005,Citizen Potawatomi Nation                                                             ,1400.0,800,1982,           49500 ,          1995 ,23.7348458,          ,326,OK,Firelake Entertainment Center
41207 Hardesty Rd Shawnee OK 74801                 ,35.3042494,-96.8952825,40069,Citizen Potawatomi Nation                                                             ,1400.0,800,1982,           49500 ,          1995 ,23.7348458,          ,326,OK,Firelake Entertainment Center
41207 Hardesty Rd Shawnee OK 74801                 ,35.3042494,-96.8952825,40101,Citizen Potawatomi Nation                                                             ,1400.0,800,1982,           49500 ,          1995 ,23.7348458,          ,326,OK,Firelake Entertainment Center
41207 Hardesty Rd Shawnee OK 74801                 ,35.3042494,-96.8952825,48097,Citizen Potawatomi Nation                                                             ,1400.0,800,1982,           49500 ,          1995 ,23.7348458,          ,326,OK,Firelake Entertainment Center
41207 Hardesty Rd Shawnee OK 74801                 ,35.3042494,-96.8952825,40131,Citizen Potawatomi Nation                                                             ,1400.0,800,1982,           49500 ,          1995 ,23.7348458,          ,326,OK,Firelake Entertainment Center
41207 Hardesty Rd Shawnee OK 74801                 ,35.3042494,-96.8952825,40077,Citizen Potawatomi Nation                                                             ,1400.0,800,1982,           49500 ,          1995 ,23.7348458,          ,326,OK,Firelake Entertainment Center
41207 Hardesty Rd Shawnee OK 74801                 ,35.3042494,-96.8952825,40085,Citizen Potawatomi Nation                                                             ,1400.0,800,1982,           49500 ,          1995 ,23.7348458,          ,326,OK,Firelake Entertainment Center
41207 Hardesty Rd Shawnee OK 74801                 ,35.3042494,-96.8952825,40053,Citizen Potawatomi Nation                                                             ,1400.0,800,1982,           49500 ,          1995 ,23.7348458,          ,326,OK,Firelake Entertainment Center
41207 Hardesty Rd Shawnee OK 74801                 ,35.3042494,-96.8952825,48181,Citizen Potawatomi Nation                                                             ,1400.0,800,1982,           49500 ,          1995 ,23.7348458,          ,326,OK,Firelake Entertainment Center
41207 Hardesty Rd Shawnee OK 74801                 ,35.3042494,-96.8952825,40083,Citizen Potawatomi Nation                                                             ,1400.0,800,1982,           49500 ,          1995 ,23.7348458,          ,326,OK,Firelake Entertainment Center
41207 Hardesty Rd Shawnee OK 74801                 ,35.3042494,-96.8952825,40099,Citizen Potawatomi Nation                                                             ,1400.0,800,1982,           49500 ,          1995 ,23.7348458,          ,326,OK,Firelake Entertainment Center
41207 Hardesty Rd Shawnee OK 74801                 ,35.3042494,-96.8952825,40029,Citizen Potawatomi Nation                                                             ,1400.0,800,1982,           49500 ,          1995 ,23.7348458,          ,326,OK,Firelake Entertainment Center
41207 Hardesty Rd Shawnee OK 74801                 ,35.3042494,-96.8952825,40031,Citizen Potawatomi Nation                                                             ,1400.0,800,1982,           49500 ,          1995 ,23.7348458,          ,326,OK,Firelake Entertainment Center
41207 Hardesty Rd Shawnee OK 74801                 ,35.3042494,-96.8952825,40127,Citizen Potawatomi Nation                                                             ,1400.0,800,1982,           49500 ,          1995 ,23.7348458,          ,326,OK,Firelake Entertainment Center
41207 Hardesty Rd Shawnee OK 74801                 ,35.3042494,-96.8952825,40137,Citizen Potawatomi Nation                                                             ,1400.0,800,1982,           49500 ,          1995 ,23.7348458,          ,326,OK,Firelake Entertainment Center
41207 Hardesty Rd Shawnee OK 74801                 ,35.3042494,-96.8952825,40145,Citizen Potawatomi Nation                                                             ,1400.0,800,1982,           49500 ,          1995 ,23.7348458,          ,326,OK,Firelake Entertainment Center
