Address_2                                          ,Lat 2nd Run ,Long 2nd Run ,fips_codes,Tribe Name                                                                            ,Game Class Type                       ,SeatsSlots ,Open_Date ,SquareFeetGaming ,RenovationDate ,Revenue_FY23        ,Cost,State,Casino_Name
308 E Ridge Ln Payson AZ 85541                     ,34.22496845,-111.3260195,"['04005', '04013', '04007', '04025']",Tonto Apache Tribe of Arizona                                                         ,Class II & III                        ,400,     1993 ,          120000 ,               ,18.2,          ,AZ,Mazatzal Hotel & Casino
777 AZ-260 Pinetop AZ 85935                        ,34.12971953,-109.9462642,"['04007', '04001', '04017']",White Mountain Apache Tribe of the Fort Apache Reservation (Arizona)                  ,Class II & III                        ,829,     1993 ,           18600 ,               ,6.1,          ,AZ,Hon Dah Resort - Casino
555 W Middle Verde Rd Camp Verde AZ 86322          ,34.60643655,-111.8623177,"['04005', '04007', '04025']",Yavapai-Apache Nation of the Camp Verde Indian Reservation                            ,Class II & III (See 25 CFR 502.3 & 4) ,650,     1995 ,          114000 ,          2016 ,63.7,  30000000,AZ,Cliff Castle Casino
500 AZ-89 Prescott AZ 86301                        ,34.5553492,-112.4534938,"['04005', '04025']",Yavapai-Prescott Indian Tribe                                                         ,Class II & III (See 25 CFR 502.3 & 4) ,475,     1992 ,           24000 ,               ,6.9,  40000000,AZ,Bucky's Casino
1505 AZ-69 Prescott AZ 86301                       ,34.54817253,-112.446286,['04025'],Yavapai-Prescott Indian Tribe                                                         ,Class III (See 25 CFR 502.3 & 4)      ,175,     1994 ,            6000 ,               ,2.0,          ,AZ,Yavapai Gaming Center
32-250 Bob Hope Dr Rancho Mirage CA 92270          ,33.81481985,-116.408331,"['06073', '06071', '06065']",Agua Caliente Band of Cahuilla Indians                                                ,Class II & III (See 25 CFR 502.3 & 4) ,1500,     2001 ,           77000 ,          2008 ,217.1065655, 400000000,CA,Agua Caliente Casino Rancho Mirage
32-279 Bob Hope Dr Rancho Mirage CA 92270          ,33.8151426,-116.4103821,"['06073', '06071', '06065']",Agua Caliente Band of Cahuilla Indians                                                ,Class II (See 25 CFR 502.3 & 4)       ,31,     2021 ,             750 ,               ,4.48686902,          ,CA,Agua Caliente Fuel
68960 E Palm Canyon Dr Cathedral City CA 92234     ,33.77888994,-116.4607148,"['06073', '06071', '06065']",Agua Caliente Band of Cahuilla Indians                                                ,Class III (See 25 CFR 502.3 & 4)      ,500,     2020 ,           38000 ,               ,72.36885516, 250000000,CA,Agua Caliente Casino Cathedral City
401 E Amado Rd Palm Springs CA 92262               ,33.826751,-116.5238115,"['06073', '06071', '06065']",Agua Caliente Band of Cahuilla Indians                                                ,Class III (See 25 CFR 502.3 & 4)      ,1000,     2000 ,           40000 ,               ,144.7377103,  80000000,CA,Agua Caliente Casino Palm Springs
101-199 Water St Alturas CA 96101                  ,41.4809316,-120.5422916,"['06035', '06049']",Alturas Indian Rancheria                                                              ,Class II & III (See 25 CFR 502.3 & 4) ,128,     1999 ,            6200 ,               ,0.7,   9000000,CA,Desert Rose Casino
84360 Avenue 54 Coachella CA 92236                 ,33.656474,-116.1928278,"['06073', '06025', '06071', '06065']",Augustine Band of Cahuilla Indians                                                    ,Class III (See 25 CFR 502.3 & 4)      ,800,     2002 ,           42000 ,          2016 ,52.3,          ,CA,Augustine Casino
1932 Wildcat Canyon Rd Lakeside CA 92040           ,32.890957,-116.891342,['06073'],Barona Group of Capitan Grande Band of Mission Indians                                ,Class II & III (See 25 CFR 502.3 & 4) ,2200,     1993 ,          300000 ,          2003 ,440.0, 260000000,CA,Barona Valley Ranch Resort and Casino
Main Street Loleta CA                              ,40.6396923,-124.2248146,['06023'],Bear River Band of the Rohnerville Rancheria                                          ,Class II & III (See 25 CFR 502.3 & 4) ,350,     2012 ,           13060 ,          2017 ,60.0,          ,CA,Bear River Casino Resort
Main Street Loleta CA                              ,40.6396923,-124.2248146,['06023'],Bear River Band of the Rohnerville Rancheria                                          ,Class III (See 25 CFR 502.3 & 4)      ,38,     2020 ,                 ,               ,1.8,   2500000,CA,Bear River Pump and Play
4020 Olive Hwy Oroville CA 95966                   ,39.5014381,-121.5314695,"['06057', '06115', '06101', '06063', '06011', '06021', '06007']",Berry Creek Rancheria of Maidu Indians of California                                  ,Class II & III (See 25 CFR 502.3 & 4) ,950,     2005 ,           60000 ,               ,44.8,   1500000,CA,Gold Country Casino
33049 Auberry Rd Auberry CA 93602                  ,37.07481299,-119.4861776,"['06019', '06039', '06043']",Big Sandy Band of Western Mono Indians                                                ,Class III (See 25 CFR 502.3 & 4)      ,350,     1995 ,           10000 ,          2025 ,2.9, 400000000,CA,Mono Wind Casino
2565 Parallel Dr Lakeport CA 95453                 ,39.02055001,-122.9159127,"['06033', '06045', '06097', '06011', '06021']",Big Valley Band of Pomo Indians                                                       ,Class III (See 25 CFR 502.3 & 4)      ,249,     2013 ,           20000 ,               ,11.7,          ,CA,Konocti Vista Casino Resort & Marina
2742 N Sierra Hwy Bishop CA 93514                  ,37.3758512,-118.4105953,"['06019', '06051', '06027', '32009']",Bishop Paiute Tribe                                                                   ,Class II & III (See 25 CFR 502.3 & 4) ,500,     2020 ,           28800 ,               ,17.7, 118000000,CA,Wanaaha Casino fka Paiute Palace
411 I St Blue Lake CA 95525                        ,40.8815745,-123.9859224,"['06023', '06105']",Blue Lake Rancheria                                                                   ,Class III (See 25 CFR 502.3 & 4)      ,77,     2020 ,                 ,               ,5.0,          ,CA,Playstation 777
411 I St Blue Lake CA 95525                        ,40.8815745,-123.9859224,"['06023', '06105']",Blue Lake Rancheria                                                                   ,Class II & III (See 25 CFR 502.3 & 4) ,611,     2020 ,           44502 ,               ,35.6,          ,CA,Blue Lake Casino
450 S Mills St Ione CA 95640                       ,38.34858991,-120.9355818,"['06005', '06009', '06099', '06077', '06061', '06017', '06067']",Buena Vista Rancheria of Me-Wuk Indians                                               ,Class III (See 25 CFR 502.3 & 4)      ,950,     2019 ,           25000 ,               ,7.5, 168000000,CA,Harrah's Northern California
84-245 Indio Springs Pkwy Indio CA 92203           ,33.720646,-116.1847436,"['06073', '06025', '06071', '06065']",Cabazon Band of Mission Indians                                                       ,Class II & III (See 25 CFR 502.3 & 4) ,1800,     2004 ,          100000 ,               ,5.7, 200000000,CA,Fantasy Springs Resort Casino
3770 CA-45 Colusa CA 95932                         ,39.25537824,-122.0315176,"['06115', '06101', '06113', '06011', '06021', '06007']",Cachil Dehe Band of Wintun Indians of the Colusa Indian Community                     ,Class II & III (See 25 CFR 502.3 & 4) ,1200,     1986 ,           50000 ,          2004 ,13.0, 300000000,CA,Colusa Casino Resort
53071 CA-371 Anza CA 92539                         ,33.54399777,-116.7335038,"['06073', '06065']",Cahuilla Band of Mission Indians of the Cahuilla Reservation                          ,Class II & III (See 25 CFR 502.3 & 4) ,353,     1996 ,           14000 ,          2019 ,2.2,  35200000,CA,Cahuilla Casino
1800 Golden Acorn Way Campo CA 91906               ,32.7022228,-116.3548245,"['06073', '06025']",Campo Band of Diegueno Mission of the Campo Indian Reservation                        ,Class III (See 25 CFR 502.3 & 4)      ,720,     2001 ,           32000 ,          2019 ,35.0,  50000000,CA,Golden Acorn Casino
10 Havasu Lake Rd Havasu Lake CA 92363             ,34.49683741,-114.4009641,"['04015', '06071', '06065', '04012']",Chemehuevi Indian Tribe of the Chemehuevi Reservation                                 ,Class III (See 25 CFR 502.3 & 4)      ,250,     2019 ,           72500 ,               ,15.6,  40000000,CA,Havasu Landing Resort & Casino
27 Scenic Drive Trinidad Ca 95570                  ,41.05816624,-124.1373565,"['06023', '06015']",Cher-Ae Heights Indian Community of the Trinidad Rancheria                            ,Class II & III (See 25 CFR 502.3 & 4) ,300,     1988 ,           50000 ,          2001 ,35.8,    400000,CA,Cher-Ae-Heights Casino
16929 Chicken Ranch Road Jamestown CA 95327        ,37.92922465,-120.4517525,"['06047', '06009', '06043', '06099', '06109']",Chicken Ranch Rancheria of Me-wuk Indians of California                               ,Class II & III (See 25 CFR 502.3 & 4) ,600,     2000 ,           70000 ,          2019 ,23.1, 325000000,CA,Chicken Ranch Casino & Bingo
6991 N State St Redwood Valley CA 95470            ,39.2648279,-123.2272868,"['06033', '06045']",Coyote Valley Band of Pomo Indians                                                    ,Class II (See 25 CFR 502.3 & 4)       ,50,     2016 ,            3600 ,               ,1.1,    150000,CA,Coyote Valley Mini Casino
3250 CA-128 Geyserville CA 95441                   ,38.70354065,-122.8584299,"['06033', '06045', '06055', '06097', '06041']",Dry Creek Rancheria Band of Pomo Indians                                              ,Class III (See 25 CFR 502.3 & 4)      ,1000,     2002 ,           30000 ,          2024 ,62.0, 300000000,CA,River Rock Casino
130 Anchor Way Crescent City CA 95531              ,41.743748,-124.1811353,"['06023', '41015', '06015']",Elk Valley Rancheria                                                                  ,Class II & III (See 25 CFR 502.3 & 4) ,300,     1995 ,           36000 ,          2022 ,5.8,  30000000,CA,Elk Valley Casino
3317 Forty Mile Road Wheatland California 95682    ,39.0506909,-121.5118126,"['06057', '06115', '06101', '06113', '06011', '06061', '06067', '06007']",Enterprise Rancheria of the Maidu Indians of California                               ,Class III (See 25 CFR 502.3 & 4)      ,1500,     2019 ,           62000 ,               ,62.0, 440000000,CA,Rocktane Slots & Casino at Fire Mountain
5145 Redwood Dr Rohnert Park CA 94928              ,38.36124425,-122.7142375,"['06033', '06055', '06097', '06095', '06041']",Federated Indians of Graton Rancheria                                                 ,Class II & III (See 25 CFR 502.3 & 4) ,3000,     2016 ,          135000 ,          2015 ,304.7, 450000000,CA,Graton Resort & Casino
139 US-395 Independence CA 93526                   ,36.80284145,-118.1999629,"['06019', '06107', '06027']",Fort Independence Indian Community of Paiute Indians of Fort Independence Reservation ,Class II (See 25 CFR 502.3 & 4)       ,200,     2012 ,           33000 ,               ,15.0,          ,CA,Oak Creek Casino
