Address_2                                          ,Lat 2nd Run ,Long 2nd Run ,fips_codes,Tribe Name                                                                            ,Game Class Type                       ,SeatsSlots ,Open_Date ,SquareFeetGaming ,RenovationDate ,Revenue_FY23        ,Cost,State,Casino_Name
900 Skyline Rd Susanville CA 96130                 ,40.43056805,-120.6575932,"['06063', '06035']",Susanville Indian Rancheria                                                           ,Class III                             ,250,     1996 ,           26000 ,          2003 ,28.5,          ,CA,Diamond Mountain Casino
5469 Casino Way El Cajon CA 92019                  ,32.78580005,-116.8293241,['06073'],Sycuan Band of the Kumeyaay Nation                                                    ,Class II & III                        ,2000,     1990 ,          260000 ,          2019 ,106.8, 305000000,CA,Sycuan Resort & Casino
17275 N Friant Rd Friant CA 93626                  ,36.98591255,-119.7146371,"['06019', '06047', '06039', '06043']",Table Mountain Rancheria                                                              ,Class II & III                        ,2400,     1987 ,          110000 ,          2022 ,7.8, 500000000,CA,Table Mountain Casino Resort
12559 US-101 Smith River CA 95567                  ,41.9322013,-124.1557628,"['41033', '41015', '06015']",Tolowa Dee-ni' Nation                                                                 ,Class II & III                        ,300,     1996 ,           45000 ,               ,17.1,          ,CA,Lucky 7 Casino
3095 CA-86 Salton City CA 92275                    ,33.2882661,-115.9708534,"['06073', '06025', '06065']",Torres Martinez Desert Cahuilla Indians                                               ,Class II & III                        ,400,     2007 ,           14000 ,               ,17.7,          ,CA,Red Earth Casino
1850 West St Porterville CA 93257                  ,36.03115831,-119.0767322,"['06107', '06029']",Tule River Indian Tribe of the Tule River Reservation                                 ,Class II & III                        ,1750,     2021 ,          105000 ,          2023 ,3.2, 200000000,CA,Eagle Mountain Casino
19400 Tuolumne Rd N Tuolumne CA 95379              ,37.9735364,-120.2398191,"['06047', '06009', '06043', '06099', '06109']",Tuolumne Band of Me-Wuk Indians of the Tuolumne Rancheria                             ,Class II & III                        ,1174,     2005 ,           50000 ,          2009 ,9.0, 160000000,CA,Black Oak Casino Resort
73829 Baseline Rd Twentynine Palms CA 92277        ,34.12111933,-116.0511209,"['06071', '06065']",Twenty Nine Palms Band of Mission Indians                                             ,Class II & III                        ,490,     2014 ,           30000 ,               ,15.1,  10400000,CA,Tortoise Rock Casino
1200 Athens Ave Lincoln CA 95648                   ,38.8403664,-121.3137366,"['06057', '06115', '06101', '06113', '06061', '06017', '06067']",United Auburn Indian Community of the Auburn Rancheria                                ,Class II & III                        ,3500,     2003 ,          250000 ,               ,14.0, 130000000,CA,Thunder Valley Casino
5000 Willows Rd Alpine CA 91901                    ,32.84226475,-116.705785,['06073'],Viejas Band of Kumeyaay Indians                                                       ,Class II & III                        ,2500,     1991 ,          133000 ,          2013 ,193.8, 800000000,CA,Viejas Casino
1 Sky River Pkwy Elk Grove CA 95757                ,38.38033865,-121.3693824,"['06005', '06013', '06101', '06113', '06009', '06095', '06077', '06061', '06017', '06067']",Wilton Rancheria                                                                      ,Class III                             ,2100,     2022 ,          100000 ,               ,3.1, 400000000,CA,Sky River Casino
14455 CA-16 Brooks CA 95606                        ,38.7365093,-122.1430966,"['06033', '06055', '06101', '06113', '06095', '06011']",Yocha DeHe Wintun Nation                                                              ,Class II & III                        ,2300,     1993 ,           74270 ,          2002 ,220.0,          ,CA,Cache Creek Casino Resort
777 San Manuel Blvd S Highland CA 92346            ,34.15068035,-117.2294055,"['06071', '06065']",Yuhaaviatam of San Manuel Nation                                                      ,Class II & III                        ,7200,     1994 ,          290000 ,          2021 ,89.5, 720000000,CA,Yaamava' Resort & Casino at San Manuel
171 Klamath Blvd Klamath CA 95548                  ,41.5294502,-124.0393122,"['06023', '06093', '06015']",Yurok Tribe of the Yurok Reservation                                                  ,Class III                             ,125,     2014 ,            3700 ,          2024 ,8.6,  15000000,CA,Redwood Hotel Casino
14324 CO-172 Ignacio CO 81137                      ,37.1216081,-107.6341667,"['35039', '35045', '08053', '08007', '08067']",Southern Ute Indian Tribe                                                             ,Class II & III                        ,500,     2008 ,           45000 ,               ,1.9,  17500000,CO,Sky Ute Casino Resort
3 Weeminuche Dr Towaoc CO 81334                    ,37.2046236,-108.6853093,"['08083', '35045', '04001', '08033', '49037', '08067']",Ute Mountain Ute Tribe                                                                ,Class II & III                        ,700,     1992 ,           60000 ,          2004 ,8.5,   5500000,CO,Ute Mountain Casino
350 Trolley Line Blvd Mashantucket CT 06338        ,41.4717228,-71.9576205,"['36103', '09007', '09011', '44009', '44007', '09013', '44003', '09015']",Mashantucket Pequot Indian Tribe                                                      ,Class II & III                        ,5500,     1992 ,          344000 ,          2005 ,91.0, 700000000,CT,Foxwoods Resort & Casino
1 Mohegan Sun Blvd Uncasville CT 06382             ,41.49236055,-72.08971324,"['36103', '09007', '09011', '44009', '44007', '09013', '44003', '09015', '09003']",Mohegan Tribe of Indians of Connecticut                                               ,Class II & III                        ,6500,     1996 ,          364000 ,          2016 ,598.96, 600000000,CT,Mohegan Sun Casino
500 SW 177th Ave Miami FL 33194                    ,25.7634818,-80.48456225,"['12086', '12087', '12021', '12011']",Miccosukee Tribe of Indians of Florida                                                ,Class II                              ,1800,     1999 ,           70000 ,          2024 ,21.1,  45000000,FL,Miccosukee Resort & Gaming
5223 Orient Rd Tampa FL 33610                      ,27.9627994,-82.3729934,"['12057', '12105', '12101', '12081', '12103']",Seminole Tribe of Florida                                                             ,Class II & III                        ,5000,     2000 ,          190000 ,          2019 ,237.7, 519000000,FL,Seminole Hard Rock Hotel & Casino - Tampa
1215 7th St Okeechobee FL 34974                    ,27.249802,-80.8696148,"['12055', '12093', '12097', '12111', '12099', '12061', '12051', '12043', '12085']",Seminole Tribe of Florida                                                             ,Class II & III                        ,400,     1980 ,           27000 ,          2025 ,34.2,          ,FL,Seminole Indian Casino - Brighton
5550 NW 40th St Coconut Creek FL 33073             ,26.27834435,-80.1995575,"['12086', '12099', '12011']",Seminole Tribe of Florida                                                             ,Class II & III                        ,2400,     2000 ,           24000 ,          2012 ,72.0, 120000000,FL,Seminole Indian Casino - Coconut Creek
506 S 1st St Immokalee FL 34142                    ,26.425519,-81.417559,"['12071', '12021', '12051', '12015', '12043']",Seminole Tribe of Florida                                                             ,Class II & III                        ,1400,     1994 ,           51000 ,          2009 ,95.7,          ,FL,Seminole Indian Casino - Immokalee
1 Seminole Way Hollywood FL 33314                  ,26.0530739,-80.2077538,"['12086', '12099', '12011']",Seminole Tribe of Florida                                                             ,Class II & III                        ,2500,     1979 ,          140000 ,          2019 ,28.0,1500000000,FL,Seminole Hard Rock Hotel & Casino - Hollywood
1314 15th St Onawa IA 51040                        ,42.0207935,-96.10555217,"['31177', '19047', '19133', '31021', '31173', '31043', '19193', '19085']",Omaha Tribe of Nebraska                                                               ,Class III                             ,400,     1992 ,           10000 ,          2009 ,16.9,   8000000,IA,Blackbird Bend Casino
1504 305th St Tama IA 52339                        ,41.99700624,-92.66347941,"['19083', '19075', '19127', '19171', '19095', '19099', '19157', '19013', '19011']",Sac & Fox Tribe of the Mississippi in Iowa                                            ,Class II & III                        ,1350,     1992 ,           67553 ,          2019 ,11.0, 100000000,IA,Meskwaki Bingo Casino Hotel
Sloan IA 51055                                     ,42.2330049,-96.2279425,"['46127', '19133', '31039', '31021', '31173', '19149', '31043', '19193', '19085']",Winnebago Tribe of Nebraska                                                           ,Class II & III                        ,850,     1992 ,           54343 ,          2023 ,12.0,   1000000,IA,WinnaVegas Casino
Worley ID 83876                                    ,47.400736,-116.917124,"['53075', '16009', '53063', '16055', '16057']",Coeur d'Alene Tribe                                                                   ,Class II & III                        ,2000,     1993 ,          100000 ,          2011 ,6.5,  85000000,ID,Coeur d'Alene Casino Resort/Hotel
7169 Plaza St Bonners Ferry ID 83805               ,48.6970607,-116.3087954,"['30053', '16021', '16017']",Kootenai Tribe of Idaho                                                               ,Class II & III                        ,500,     1986 ,           30000 ,          2005 ,18.9,          ,ID,Kootenai River Inn Casino and Spa
4918 Hatwai Road Lewiston ID 83501                 ,46.4363474,-116.9605281,"['16061', '16069', '53075', '53023', '53003', '16057']",Nez Perce Tribe                                                                       ,Class II & III                        ,1200,     2003 ,           80000 ,               ,13.9,          ,ID,Clearwater River Casino & Lodge
419 3rd St Kamiah ID 83536                         ,46.2305645,-116.0180918,"['16061', '16035', '16069', '16049']",Nez Perce Tribe                                                                       ,Class III                             ,110,     2001 ,            6000 ,               ,7.8,          ,ID,It'Se Ye-Ye Casino
845 McKinley Ave Pocatello ID 83201                ,42.89046286,-112.4564482,"['16029', '16071', '16011', '16077', '16005']",Shoshone-Bannock Tribes                                                               ,Class II & III                        ,60,     1990 ,            2700 ,               ,3.5,          ,ID,Bannock Peak Casino
Pocatello ID 83202                                 ,42.8620287,-112.450627,"['16029', '16071', '16011', '16077', '16005']",Shoshone-Bannock Tribes                                                               ,Class II & III                        ,900,     2012 ,           72984 ,          2019 ,39.1, 311000000,ID,Shoshone-Bannock Casino
843 North US-91 Blackfoot ID 83221                 ,43.1997545,-112.3325255,"['16029', '16051', '16019', '16011', '16077', '16005']",Shoshone-Bannock Tribes                                                               ,Class III                             ,100,     2018 ,           13200 ,               ,3.5,          ,ID,Sage Hill Travel Center & Casino
3000 Prairie Ave South Bend IN 46614               ,41.644719,-86.291099,"['18099', '18085', '18091', '26159', '26027', '18141', '18149', '18039', '26021']",Pokagon Band of Potawatomi Indians of Michigan and Indiana                            ,Class II & III                        ,2250,     2018 ,          175000 ,          2022 ,120.1160542, 400000000,IN,Four Winds Casino South Bend
White Cloud KS 66094                               ,39.9763876,-95.2969223,"['29087', '20085', '20043', '29005', '29021', '20013', '31127', '29147', '20005', '31147', '29003']",Iowa Tribe of Kansas and Nebraska                                                     ,Class II & III                        ,380,     1998 ,           21000 ,               ,4.0,          ,KS,Casino White Cloud
134 West 8th Street Horton KS                      ,39.66026095,-95.52834147,"['29087', '20085', '20043', '20087', '29021', '20013', '20131', '20005', '31147', '20103']",Kickapoo Tribe of Indians of the Kickapoo Reservation in Kansas                       ,Class III                             ,400,     1996 ,           45000 ,               ,12.6,          ,KS,Golden Eagle Casino
Mayetta KS 66509                                   ,39.338885,-95.722483,"['20149', '20085', '20087', '20013', '20045', '20177', '20131', '20005', '20197']",Prairie Band of Potawatomi Nation                                                     ,Class III                             ,1200,     1998 ,           35000 ,          2019 ,65.0, 130000000,KS,Prairie Band Casino & Resort
832 Martin Luther King Rd Charenton LA 70523       ,29.87146519,-91.53747682,"['22047', '22099', '22045', '22109', '22101', '22007']",Chitimacha Tribe of Louisiana                                                         ,Class II & III                        ,1000,     1993 ,          180000 ,          2012 ,66.0,  20000000,LA,Cypress Bayou Casino
777 Coushatta Dr Kinder LA 70648                   ,30.54588775,-92.81442419,"['22001', '22011', '22053', '22079', '22097', '22115', '22003', '22019', '22039']",Coushatta Tribe of Louisiana                                                          ,Class II & III                        ,2000,     1995 ,          100000 ,          2024 ,336.0, 150000000,LA,Coushatta Casino Resort
1571 North 2nd Street Jena LA                      ,31.68665945,-92.13089135,"['22009', '22029', '22079', '22025', '22043', '22127', '22041', '22021', '22059']",Jena Band of Choctaw Indians                                                          ,Class II & III                        ,40,     1998 ,            3000 ,               ,1.0,          ,LA,Miko's Gaming
148 Red Oak Lane Grant Parish LA 71477             ,31.4347766,-92.49835688,"['22009', '22069', '22079', '22115', '22043', '22127', '22059']",Jena Band of Choctaw Indians                                                          ,Class II                              ,600,     2013 ,           46000 ,               ,66.8,          ,LA,Choctaw Pines Casino
141 South Washington Street Marksville LA 71351    ,31.1253041,-92.06657644,"['22009', '22029', '28001', '22079', '22097', '22025', '22043', '22077', '22125', '22059', '22039']",Tunica-Biloxi Indian Tribe of Louisiana                                               ,Class II & III                        ,1000,     1994 ,           72000 ,          2023 ,15.0,          ,LA,Paragon Casino & Resort
11386 W Lakeshore Dr Brimley MI 49715              ,46.4226468,-84.60206142,"['26033', '26097']",Bay Mills Indian Community                                                            ,Class II & III                        ,600,     1995 ,           17000 ,          2022 ,92.8, 100000000,MI,Bay Mills Resort & Casino
7741 M-72 Williamsburg MI 49690                    ,44.77402365,-85.42179215,"['26055', '26089', '26165', '26079', '26019', '26009', '26029', '26113']",Grand Traverse Band of Ottawa and Chippewa Indians                                    ,Class II & III                        ,1600,     1996 ,           56000 ,          2008 ,5.0, 160000000,MI,Turtle Creek Casino
118 West First Street Suttons Bay MI 49682         ,44.97426245,-85.65466973,"['26055', '26089', '26079', '26019', '26009', '26029']",Grand Traverse Band of Ottawa and Chippewa Indians                                    ,Class II & III                        ,350,     1991 ,           30000 ,          2013 ,16.0,   2500000,MI,Leelanau Sands Casino
W 399 US-2 Harris MI 49845                         ,45.70294435,-87.33741387,"['26041', '26103', '26043', '26109']",Hannahville Indian Community                                                          ,Class II & III                        ,1150,     1985 ,           55000 ,          2017 ,60.0,  80000000,MI,Island Resort & Casino
203 Michigan Ave Baraga MI 49908                   ,46.77940308,-88.49386665,"['26103', '26013', '26071', '26061', '26131']",Keweenaw Bay Indian Community                                                         ,Class II & III                        ,300,     1990 ,           17000 ,          2016 ,47.1,   6500000,MI,Ojibwa Casino II
105 Acre Trail Marquette MI 49855                  ,46.47930927,-87.24264322,"['26041', '26103', '26003']",Keweenaw Bay Indian Community                                                         ,Class II & III                        ,500,     1985 ,           67000 ,          2019 ,9.6,  40000000,MI,Ojibwa Casino and Resort - Marquette
N5384 US-45 Watersmeet MI 49969                    ,46.2767826,-89.1776948,"['26053', '26071', '55085', '26061', '26131', '55125', '55041']",Lac Vieux Desert Tribe                                                                ,Class II & III                        ,495,     1998 ,           25000 ,          2008 ,20.5,  19000000,MI,Northern Waters Casino Resort
2700 Orchard Hwy Manistee MI 49660                 ,44.2858293,-86.24697307,"['26165', '26019', '26101', '26105', '26085']",Little River Band of Ottawa Indians                                                   ,Class II & III                        ,1100,     1999 ,           70000 ,          2016 ,9.6,  55000000,MI,Little River Casino
1080 S Nicolet St Mackinaw City MI 49701           ,45.76761021,-84.73197174,"['26033', '26097', '26031', '26047']",Little Traverse Bay Band of Odawa Indians                                             ,Class II & III                        ,200,     2016 ,            5000 ,               ,30.0,   3200000,MI,Odawa Casino Mackinaw City
1444 US-131 Petoskey MI 49770                      ,45.36170958,-84.97095452,"['26137', '26009', '26031', '26029', '26047']",Little Traverse Bay Band of Odawa Indians                                             ,Class II & III                        ,1000,     2007 ,           50000 ,               ,500.0,          ,MI,Odawa Casino Resort
1123 129th Ave Wayland MI 49348                    ,42.6303661,-85.6612775,"['26015', '26159', '26077', '26067', '26005', '26025', '26081', '26139']",Match-E-Be-Nash-She-Wish Band of Potawatomi Indians                                   ,Class II & III                        ,2500,     2011 ,          156000 ,          2021 ,45.0, 400000000,MI,Gun Lake Casino
11177 E Michigan Ave Battle Creek MI 49014         ,42.3133591,-85.1695841,"['26015', '26023', '26149', '26045', '26077', '26005', '26025', '26059']",Nottawaseppi Huron Band of Potawatomi                                                 ,Class II & III                        ,2680,     2009 ,          107000 ,          2012 ,20.2, 300000000,MI,Firekeepers
Dowagiac MI 49047                                  ,41.9824681,-86.1088809,"['26159', '26027', '26149', '18141', '26077', '18039', '26021']",Pokagon Band of Potawatomi Indians of Michigan and Indiana                            ,Class II & III                        ,404,     2013 ,           12000 ,               ,21.56750484,          ,MI,Four Winds Casino Dowagiac
68600 Red Arrow Hwy Hartford MI 49057              ,42.19891789,-86.21155292,"['26159', '26027', '26005', '26021']",Pokagon Band of Potawatomi Indians of Michigan and Indiana                            ,Class II & III                        ,550,     2011 ,           52000 ,               ,29.36170213,  40000000,MI,Four Winds Hartford
11111 Wilson Rd New Buffalo MI 49117               ,41.77010172,-86.72216946,"['18099', '18091', '18141', '18149', '18127', '26021']",Pokagon Band of Potawatomi Indians of Michigan and Indiana                            ,Class II & III                        ,3000,     2007 ,          130000 ,          2011 ,160.1547389, 200000000,MI,Four Winds Casino Resort
6800 Soaring Eagle Blvd Mt Pleasant MI 48858       ,43.60840435,-84.71299056,"['26051', '26133', '26035', '26117', '26073', '26057', '26111', '26145', '26107']",Saginaw Chippewa Indian Tribe of Michigan                                             ,Class II & III                        ,4400,     1997 ,          210000 ,          2011 ,200.0, 180000000,MI,Soaring Eagle Casino & Resort
2690 Worth Rd Standish MI 48658                    ,43.9248331,-83.9499025,"['26051', '26017', '26011', '26069', '26111', '26129', '26145', '26157']",Saginaw Chippewa Indian Tribe of Michigan                                             ,Class III                             ,800,     2007 ,           32000 ,          2019 ,11.6, 100000000,MI,Saganing Eagle's Landing Casino
2061 North Three Mile Road MI 49745                ,46.03632915,-84.42890005,"['26033', '26097', '26031', '26047']",Sault Ste. Marie Tribe of Chippewa Indians of Michigan                                ,Class II & III                        ,150,     1994 ,            6400 ,          2023 ,33.0,   5000000,MI,Kewadin Casino Hessel
2186 Shunk Rd.Sault Ste. Marie MI 49783            ,46.4748054,-84.32525626,"['26033', '26097']",Sault Ste. Marie Tribe of Chippewa Indians of Michigan                                ,Class II & III                        ,2300,     1985 ,          210000 ,          2004 ,110.0, 300000000,MI,Kewadin Casino Hotel & Convention Center
5939 US 2 Manistique MI 49854                      ,45.953668,-86.247432,"['26097', '26041', '26003', '26153']",Sault Ste. Marie Tribe of Chippewa Indians of Michigan                                ,Class II & III                        ,800,     1994 ,           10000 ,               ,53.5,          ,MI,Kewadin Casino Manistique
3015 Mackinac Trail St Ignace MI 49781             ,45.9290336,-84.7327477,"['26033', '26097', '26031', '26047']",Sault Ste. Marie Tribe of Chippewa Indians of Michigan                                ,Class II & III                        ,700,     1987 ,           25000 ,               ,21.7,          ,MI,Kewadin Casino St. Ignace
N7727 Saint Nicholas Street Christmas MI 49862     ,46.4361308,-86.7010525,"['26041', '26103', '26003', '26153']",Sault Ste. Marie Tribe of Chippewa Indians of Michigan                                ,Class III                             ,245,     1994 ,            8500 ,               ,3.108,          ,MI,Kewadin Casino Christmas
107 North 3rd Street Tower MN 55790                ,47.8071092,-92.2673742,['27137'],Bois Forte Band of Minnesota Chippewa Tribe                                           ,Class II & III                        ,500,     1986 ,           25000 ,          2004 ,3.8,  13000000,MN,Fortune Bay Casino
1785 MN-210 Carlton MN 55718                       ,46.6658247,-92.47807273,"['27137', '55031', '27017', '27115']",Fond du Lac Band of Minnesota Chippewa Tribe                                          ,Class II & III                        ,1800,     1993 ,           67000 ,          2008 ,131.5, 128000000,MN,Black Bear Casino
129 E Superior St Duluth MN 55802                  ,46.7888757,-92.0962346,"['27075', '27137', '55031', '27017', '27115']",Fond du Lac Band of Minnesota Chippewa Tribe                                          ,Class III                             ,700,     1986 ,           20000 ,          2016 ,31.5,   6200000,MN,Fond du Luth Casino
70 Casino Dr Grand Portage MN 55605                ,47.9539145,-89.69189544,['27031'],Grand Portage Band of Minnesota Chippewa Tribe                                        ,Class II & III                        ,450,     1975 ,           15000 ,          2018 ,28.8,   5000000,MN,Grand Portage Casino
Bena MN 56626                                      ,47.340669,-94.207415,"['27061', '27021', '27007']",Leech Lake Band of Minnesota Chippewa Tribe                                           ,Class III                             ,25,     2023 ,                 ,               ,0.5,          ,MN,Big Winnie Bar
6268 Upper Cass Frontage Rd NW Cass Lake MN 56633  ,47.38312516,-94.61721578,"['27061', '27021', '27057', '27007']",Leech Lake Band of Minnesota Chippewa Tribe                                           ,Class II & III                        ,650,     1989 ,           22000 ,          2019 ,5.0,  45000000,MN,Cedar Lakes Casino & Hotel
7316 MN-371 Walker MN 56484                        ,47.0847006,-94.5697223,"['27061', '27021', '27159', '27035', '27057', '27007']",Leech Lake Band of Minnesota Chippewa Tribe                                           ,Class II & III                        ,43,     2017 ,            9000 ,               ,1.0,   6285000,MN,Shingobee on the Bay
45830 US-2 Deer River MN 56636                     ,47.3343255,-93.7968975,"['27061', '27021', '27001']",Leech Lake Band of Minnesota Chippewa Tribe                                           ,Class III                             ,300,     2000 ,           15480 ,               ,2.9,          ,MN,White Oak Casino
4656 MN-200 Walker MN 56484                        ,47.0847006,-94.5697223,"['27061', '27021', '27159', '27035', '27057', '27007']",Leech Lake Band of Minnesota Chippewa Tribe                                           ,Class II & III                        ,1000,     1996 ,           46000 ,          2011 ,21.9,  30000000,MN,Northern Lights Casino
441 North Park Drive Morton MN 56270               ,44.5554098,-94.9839573,"['27023', '27129', '27127', '27015', '27173', '27103', '27067', '27033', '27093', '27143']",Lower Sioux Indian Community in the State of Minnesota                                ,Class II & III                        ,1250,     1988 ,          325000 ,          2008 ,60.0,          ,MN,Jackpot Junction Casino Hotel
777 Lady Luck Dr Hinckley MN 55037                 ,46.00977743,-92.90146552,"['27001', '27059', '27017', '27065', '27115', '27025', '55095', '55013']",Mille Lacs Band of Ojibwe                                                             ,Class II & III                        ,2144,     1992 ,           54800 ,          2024 ,5.3,          ,MN,Grand Casino Hinckley
777 Casino Drive Onamia MN 56359                   ,46.1793752,-93.75899555,"['27097', '27095', '27001', '27035', '27065', '27009']",Mille Lacs Band of Ojibwe                                                             ,Class II & III                        ,1269,     1991 ,           40000 ,          2024 ,450.3,          ,MN,Grand Casino Mille Lacs
151 Tyler Road North Red Wing MN 55066             ,44.5693219,-92.5828222,"['27163', '27157', '27109', '55091', '55093', '27049', '27039', '55109', '27037']",Prairie Island Indian Community in the State of Minnesota                             ,Class II & III                        ,2400,     1989 ,          116000 ,          2015 ,86.0, 186000000,MN,Treasure Island Resort & Casino
10200 MN-89 Red Lake MN 56671                      ,47.7729778,-95.0037717,"['27029', '27057', '27007']",Red Lake Band of Chippewa Indians                                                     ,Class II & III                        ,300,     2009 ,            9875 ,               ,79.0,  21000000,MN,Seven Clans Casino - Red Lake
101 Knight Avenue South Thief River Falls MN 56701 ,48.115991,-96.18468074,"['27089', '27119', '27125', '27135', '27113']",Red Lake Band of Chippewa Indians                                                     ,                                      ,650,     1993 ,           19222 ,          2019 ,8.3,  12000000,MN,Seven Clans Casino - Thief River Falls
202 Main Avenue Northeast Warroad MN 56763         ,48.90685705,-95.31756882,"['27077', '27135', '27007']",Red Lake Band of Chippewa Indians                                                     ,                                      ,580,     2014 ,           82800 ,               ,18.2,  12400000,MN,Seven Clans Casino - Warroad
2400 Mystic Lake Blvd NW Prior Lake MN 55372       ,44.7305325,-93.47763905,"['27053', '27139', '27171', '27131', '27123', '27019', '27079', '27143', '27037', '27003']",Shakopee Mdewakanton Sioux Community of Minnesota                                     ,Class II & III                        ,4000,     1990 ,          125000 ,          2017 ,120.0, 190000000,MN,Mystic Lake Casino
2450 Sioux Trail NW Prior Lake MN 55372            ,44.73701755,-93.47418277,"['27053', '27139', '27171', '27131', '27123', '27019', '27079', '27143', '27037', '27003']",Shakopee Mdewakanton Sioux Community of Minnesota                                     ,                                      ,800,     2007 ,           25000 ,               ,11.2,  77000000,MN,Little Six Casino
Granite Falls MN 56241                             ,44.8099575,-95.5455752,"['27023', '27129', '27073', '27127', '27173', '27067', '27151', '27083']",Upper Sioux Community                                                                 ,Class II & III                        ,1000,     2003 ,           20000 ,               ,25.8,  21000000,MN,Prairie's Edge Casino Resort
32012 370 St Ogema MN 56569                        ,47.107419,-95.881584,"['27087', '27119', '27107', '27005', '27029', '27111', '27027']",White Earth Nation                                                                    ,Class II & III                        ,5,          ,                 ,               ,0.9,          ,MN,3 Bears Golf Course and Berry's Liquor Store
406 Main Ave Callaway MN 56521                     ,46.98090711,-95.90918636,"['27087', '27107', '27005', '27029', '27111', '27027']",White Earth Nation                                                                    ,                                      ,22,          ,                 ,               ,1.0,          ,MN,City of Callaway d/b/a Callaway Liquor Store
203 South Main Street Mahnomen MN 56557            ,47.31405345,-95.96892519,"['27087', '27119', '27107', '27005', '27029', '27027']",White Earth Nation                                                                    ,Class II                              ,12,     2020 ,            2100 ,               ,1.0,          ,MN,d/b/a Wild Rice Lounge
1004 Pleasant Ave Waubun MN 56589                  ,47.1805005,-95.9391091,"['27087', '27119', '27107', '27005', '27029', '27027']",White Earth Nation                                                                    ,Class II                              ,10,     2004 ,            1500 ,          2020 ,1.0,          ,MN,Sundown Bar
777 S Casino Rd Mahnomen MN 56557                  ,47.30953801,-95.96493025,"['27087', '27119', '27107', '27005', '27029', '27027']",White Earth Nation                                                                    ,Class II & III                        ,800,     1991 ,           73000 ,          2001 ,8.9,  30000000,MN,Shooting Star Casino-Mahnomen
1015 1st St Waubun MN 56589                        ,47.1835676,-95.943748,"['27087', '27119', '27107', '27005', '27029', '27027']",White Earth Nation                                                                    ,Class II                              ,5,     2010 ,                 ,               ,1.0,          ,MN,Pappy's Cafe and Pizzeria
Naytahwaush MN 56566                               ,47.2627371,-95.6261409,"['27087', '27119', '27005', '27029']",White Earth Nation                                                                    ,Class II                              ,17,     1991 ,            1400 ,               ,103.5,          ,MN,Pinehurst Resort and Lodge Inc.
Ogema MN 56569                                     ,47.1040932,-95.9255358,"['27087', '27119', '27107', '27005', '27029', '27111', '27027']",White Earth Nation                                                                    ,Class II                              ,15,     1987 ,                 ,               ,1.0,          ,MN,Ogema Fire Department d/b/a Ogema Liquor Store
Naytahwaush MN 56566                               ,47.2627371,-95.6261409,"['27087', '27119', '27005', '27029']",White Earth Nation                                                                    ,Class II                              ,5,          ,                 ,               ,1.0,          ,MN,McArthur's Village Store Inc.
Ogema MN 56569                                     ,47.1040932,-95.9255358,"['27087', '27119', '27107', '27005', '27029', '27111', '27027']",White Earth Nation                                                                    ,Class II                              ,4,     2022 ,                 ,               ,1.0,          ,MN,M&W Service of White Earth
Ponsford MN 56575                                  ,46.9699582,-95.3838664,"['27087', '27005', '27029', '27159', '27057', '27111']",White Earth Nation                                                                    ,Class II                              ,22,     2009 ,                 ,               ,1.0,          ,MN,Backwoods ICL LLC dba Ice Cracking Lodge
500 Main St Bejou MN 56516                         ,47.44219,-95.974467,"['27087', '27119', '27107', '27125', '27005', '27029', '27027']",White Earth Nation                                                                    ,Class II                              ,5,     2009 ,                 ,               ,1.0,          ,MN,Peachy's Pub ALB Food & Beverage LLC
1015 1st St Waubun MN 56589                        ,47.1835676,-95.943748,"['27087', '27119', '27107', '27005', '27029', '27027']",White Earth Nation                                                                    ,Class II                              ,6,     2011 ,                 ,               ,1.0,          ,MN,Big Elbow Lake Lodge & Campground LLP
13541 MS-16 Choctaw MS 39350                       ,32.8667826,-90.815438,"['28055', '28163', '28149', '28151', '22035', '28051', '22065', '28053', '05017', '28049', '28133', '28125']",Mississippi Band of Choctaw Indians                                                   ,Class II & III                        ,1150,     2002 ,           70000 ,          2015 ,89.0,  71000000,MS,Golden Moon Hotel and Casino
1 Choctaw Rd Heidelberg MS 39439                   ,31.7771355,-89.0089693,"['28023', '28153', '28129', '28067', '28041', '28031', '28035', '28111', '28061']",Mississippi Band of Choctaw Indians                                                   ,Class II & III                        ,700,     2010 ,           27000 ,          2023 ,12.5,  18000000,MS,Bok Homa Casino
13541 MS-16 Philadelphia MS 39350                  ,32.75741401,-88.96876707,"['28007', '28075', '28103', '28159', '28069', '28019', '28099', '28101', '28079', '28123']",Mississippi Band of Choctaw Indians                                                   ,Class II & III                        ,1200,     1994 ,           90000 ,          2013 ,53.0, 145000000,MS,Silver Star Hotel & Casino
716 B Ave Brockton MT 59213                        ,48.1504343,-104.9150823,"['30085', '30055', '30083', '30019', '30091']",Assiniboine & Sioux Tribes of the Fort Peck Reservation                               ,Class III                             ,11,     1989 ,             100 ,               ,0.5,          ,MT,Fred's Grill and Casino fka B & S Laundry
300 F St W Poplar MT 59255                         ,48.112844,-105.199467,"['30085', '30055', '30083', '30021']",Assiniboine & Sioux Tribes of the Fort Peck Reservation                               ,Class III                             ,20,     2011 ,             500 ,               ,0.5,          ,MT,T.J.'s Quick Stop
300 MT-25 Wolf Point MT 59201                      ,48.0959595,-105.6163345,"['30085', '30105', '30055', '30083', '30021']",Assiniboine & Sioux Tribes of the Fort Peck Reservation                               ,Class II & III                        ,110,     1989 ,           12000 ,               ,6.56,          ,MT,Silver Wolf Casino
