Address                                            ,latitude           ,longitude           ,casino_control_counties,Tribe Name                                                                            ,TribeDividend,SeatsSlots ,Open_Date ,SquareFeetGaming ,RenovationDate ,Revenue_FY23   ,Cost,ID,State,Casino_Name
1444 US-131 Petoskey MI 49770                      ,45.36170957909764,-84.97095452098179,26051,Little Traverse Bay Band of Odawa Indians                                             ,,1000,     2007 ,           50000 ,               ,500.0,          ,143,MI,Odawa Casino Resort
1444 US-131 Petoskey MI 49770                      ,45.36170957909764,-84.97095452098179,26033,Little Traverse Bay Band of Odawa Indians                                             ,,1000,     2007 ,           50000 ,               ,500.0,          ,143,MI,Odawa Casino Resort
1444 US-131 Petoskey MI 49770                      ,45.36170957909764,-84.97095452098179,26143,Little Traverse Bay Band of Odawa Indians                                             ,,1000,     2007 ,           50000 ,               ,500.0,          ,143,MI,Odawa Casino Resort
1444 US-131 Petoskey MI 49770                      ,45.36170957909764,-84.97095452098179,26079,Little Traverse Bay Band of Odawa Indians                                             ,,1000,     2007 ,           50000 ,               ,500.0,          ,143,MI,Odawa Casino Resort
1444 US-131 Petoskey MI 49770                      ,45.36170957909764,-84.97095452098179,26119,Little Traverse Bay Band of Odawa Indians                                             ,,1000,     2007 ,           50000 ,               ,500.0,          ,143,MI,Odawa Casino Resort
1444 US-131 Petoskey MI 49770                      ,45.36170957909764,-84.97095452098179,26095,Little Traverse Bay Band of Odawa Indians                                             ,,1000,     2007 ,           50000 ,               ,500.0,          ,143,MI,Odawa Casino Resort
1444 US-131 Petoskey MI 49770                      ,45.36170957909764,-84.97095452098179,26001,Little Traverse Bay Band of Odawa Indians                                             ,,1000,     2007 ,           50000 ,               ,500.0,          ,143,MI,Odawa Casino Resort
1444 US-131 Petoskey MI 49770                      ,45.36170957909764,-84.97095452098179,26055,Little Traverse Bay Band of Odawa Indians                                             ,,1000,     2007 ,           50000 ,               ,500.0,          ,143,MI,Odawa Casino Resort
1444 US-131 Petoskey MI 49770                      ,45.36170957909764,-84.97095452098179,26069,Little Traverse Bay Band of Odawa Indians                                             ,,1000,     2007 ,           50000 ,               ,500.0,          ,143,MI,Odawa Casino Resort
1444 US-131 Petoskey MI 49770                      ,45.36170957909764,-84.97095452098179,26133,Little Traverse Bay Band of Odawa Indians                                             ,,1000,     2007 ,           50000 ,               ,500.0,          ,143,MI,Odawa Casino Resort
1444 US-131 Petoskey MI 49770                      ,45.36170957909764,-84.97095452098179,26165,Little Traverse Bay Band of Odawa Indians                                             ,,1000,     2007 ,           50000 ,               ,500.0,          ,143,MI,Odawa Casino Resort
1444 US-131 Petoskey MI 49770                      ,45.36170957909764,-84.97095452098179,26101,Little Traverse Bay Band of Odawa Indians                                             ,,1000,     2007 ,           50000 ,               ,500.0,          ,143,MI,Odawa Casino Resort
1444 US-131 Petoskey MI 49770                      ,45.36170957909764,-84.97095452098179,26035,Little Traverse Bay Band of Odawa Indians                                             ,,1000,     2007 ,           50000 ,               ,500.0,          ,143,MI,Odawa Casino Resort
1444 US-131 Petoskey MI 49770                      ,45.36170957909764,-84.97095452098179,26141,Little Traverse Bay Band of Odawa Indians                                             ,,1000,     2007 ,           50000 ,               ,500.0,          ,143,MI,Odawa Casino Resort
1444 US-131 Petoskey MI 49770                      ,45.36170957909764,-84.97095452098179,26007,Little Traverse Bay Band of Odawa Indians                                             ,,1000,     2007 ,           50000 ,               ,500.0,          ,143,MI,Odawa Casino Resort
1444 US-131 Petoskey MI 49770                      ,45.36170957909764,-84.97095452098179,26011,Little Traverse Bay Band of Odawa Indians                                             ,,1000,     2007 ,           50000 ,               ,500.0,          ,143,MI,Odawa Casino Resort
1444 US-131 Petoskey MI 49770                      ,45.36170957909764,-84.97095452098179,26135,Little Traverse Bay Band of Odawa Indians                                             ,,1000,     2007 ,           50000 ,               ,500.0,          ,143,MI,Odawa Casino Resort
