GeoFIPS ,GeoName     , 1969 , 1970 , 1971 , 1972 ,  1973 ,  1974 ,  1975 ,  1976 ,  1977 ,  1978 ,  1979 ,  1980 ,  1981 ,  1982 ,  1983 ,  1984 ,  1985 ,  1986 ,  1987 ,  1988 ,  1989 ,  1990 ,  1991 ,  1992 ,  1993 ,  1994 ,  1995 ,  1996 ,  1997 ,  1998 ,  1999 ,  2000 ,  2001 ,  2002 ,  2003 ,   2004 ,   2005 ,   2006 ,   2007 ,   2008 ,   2009 ,   2010 ,   2011 ,   2012 ,   2013 ,   2014 ,   2015 ,   2016 ,   2017 ,   2018 ,   2019 ,   2020 ,   2021 ,   2022
40085.0 ,"Love, OK"  , 2364 , 2720 , 3003 , 3033 ,  3617 ,  3800 ,  4240 ,  4655 ,  4850 ,  5473 ,  6484 ,  7932 ,  9074 ,  9621 ,  9806 , 10077 , 10528 , 11076 , 10745 , 11784 , 11987 , 14008 , 14746 , 16038 , 15536 , 15411 , 15148 , 15348 , 16209 , 16531 , 17546 , 18932 , 21682 , 22820 , 23128 ,  23437 ,  24510 ,  25875 ,  27233 ,  28984 ,  28776 ,  30219 ,  32278 ,  31771 ,  32874 ,  35259 ,  36020 ,  36050 ,  36118 ,  38084 ,  39384 ,  41656 ,  43816 ,  43362
48097.0 ,"Cooke, TX" , 3065 , 3355 , 3522 , 3940 ,  4537 ,  4874 ,  5537 ,  6025 ,  6680 ,  7822 ,  8621 ,  9315 , 10480 , 11313 , 11634 , 12528 , 13082 , 13189 , 12898 , 13421 , 14616 , 14798 , 15136 , 15577 , 16239 , 16879 , 17727 , 18706 , 20048 , 21061 , 22282 , 24134 , 24843 , 24868 , 26413 ,  27294 ,  29487 ,  32612 ,  34679 ,  41332 ,  36810 ,  39690 ,  43124 ,  45813 ,  49063 ,  52281 ,  48545 ,  45774 ,  49610 ,  50686 ,  52259 ,  54196 ,  58955 ,  61073
